dTLB-loads,time,branch-load-misses,L1-dcache-load-misses,cpu-used,p
4741188158,0.326,37669909,87905205,3.125,3.34
4700594721,0.323,41280266,88350999,3.135,3.34
4920220911,0.322,42119458,94348599,3.359,3.34
5014787197,0.326,43340636,89272420,3.383,3.34
4581424639,0.241,38446350,87358520,3.188,3.34
13750987877,13.271,138788974,251533844,1.016,13.44
14015456165,6.481,107483728,241366808,1.831,13.44
14082762975,4.384,114749575,244120099,2.534,13.44
14608053369,3.393,112730764,247059435,3.177,13.44
14732064269,2.817,118452076,252355411,3.685,13.44
14833320852,2.436,120113582,251820910,4.142,13.44
14545441619,2.034,111143252,248955831,4.493,13.44
14713395338,1.833,113613513,253382721,4.796,13.44
14942992410,1.678,110608674,251806508,5.105,13.44
14429542703,1.426,114247373,250582570,5.354,13.44
15315086298,1.447,119428740,261501727,5.867,13.44
14805797105,1.23,117170887,251909217,5.962,13.44
15988259103,1.408,124297372,268208582,6.465,13.44
15923943068,1.252,122498713,264612199,6.714,13.44
14948144099,1.037,114463347,259013210,6.668,13.44
15548940886,1.064,118831158,257616567,7.043,13.44
2034226087,1.131,19186757,48874566,0.987,1.06
2451579861,0.643,16310151,51007781,1.432,1.06
2095523666,0.471,18096727,47392890,1.366,1.06
2197345173,0.391,15228544,48761790,1.475,1.06
2584473640,0.348,15698598,46070822,1.745,1.06
2313113753,0.316,15801179,45135154,1.621,1.06
2168190727,0.321,16459033,49466500,1.525,1.06
2565119388,0.306,14601522,48816477,1.801,1.06
2074225447,0.286,16299476,44920074,1.631,1.06
2269697965,0.288,19692316,49359609,1.759,1.06
2143125165,0.277,17870928,51799179,1.678,1.06
2474127352,0.277,14783066,54531525,1.834,1.06
2376444669,0.243,15940686,50678287,1.741,1.06
2423819182,0.28,17841266,52229149,1.784,1.06
2326860516,0.263,19416853,48646565,1.792,1.06
2278388355,0.271,16031167,54022306,1.779,1.06
4517881872,3.442,17576490,82962242,1.027,3.24
4443851727,1.87,18077755,87209702,1.443,3.24
4349647428,1.352,18503863,86988101,1.653,3.24
4596055397,1.073,18363796,89679764,1.874,3.24
4588455711,0.934,17807611,87423872,2.012,3.24
4496367730,0.814,18613535,81304573,2.112,3.24
4122557007,0.773,18615705,83663739,2.089,3.24
4342488510,0.715,19801788,83353079,2.202,3.24
4225451944,0.675,20393671,87070663,2.17,3.24
4282060669,0.669,22117624,87554905,2.282,3.24
4156848117,0.666,19444608,85697358,2.083,3.24
4443077476,0.604,18496863,81963001,2.425,3.24
4204582675,0.599,18576889,84821583,2.339,3.24
4582534541,0.552,19711816,86009356,2.541,3.24
4881350617,0.578,21502435,86306822,2.714,3.24
4262737426,0.547,20218830,85427321,2.491,3.24
9607011043,9.417,29036948,138183624,0.929,8.86
9691964964,4.997,24160203,136255202,1.49,8.86
10191008300,3.586,25097392,136348598,1.956,8.86
9924830780,2.826,28769075,136500695,2.213,8.86
9939800551,2.379,26187438,140781979,2.429,8.86
9920017641,2.107,26923252,143346034,2.575,8.86
10224807337,1.927,29364602,141452415,2.802,8.86
9867946249,1.789,29342577,142889483,2.809,8.86
9705117037,1.645,25343696,135875611,2.85,8.86
9670146483,1.564,27645511,140835047,2.98,8.86
10300992875,1.475,26309792,142210322,3.248,8.86
9807978508,1.4,26226981,140797919,3.143,8.86
9762912691,1.363,27839248,143343911,3.21,8.86
9748075323,1.346,26665037,143591363,3.228,8.86
9866561252,1.282,27312379,138708156,3.291,8.86
9792290060,1.251,27595435,142809374,3.393,8.86
1946540041,0.425,22056702,42188919,1.31,0.34
1763057532,0.212,17952698,39077677,1.391,0.34
1375506221,0.184,18012125,45108719,1.126,0.34
1422402621,0.17,18100836,46121254,1.175,0.34
1428791337,0.164,15530438,45299146,1.187,0.34
1306677534,0.161,17904956,38380016,1.127,0.34
1344658045,0.143,17058709,44328685,1.153,0.34
1358612994,0.149,18396832,41088599,1.144,0.34
1549211557,0.147,16321793,48626918,1.261,0.34
1277219867,0.142,17960045,43237115,1.137,0.34
1293331114,0.143,17805685,41596018,1.156,0.34
1803675693,0.145,17477852,39649441,1.437,0.34
1511782697,0.388,20042299,39280937,1.117,0.34
1332920458,0.147,18190447,37284572,1.164,0.34
1632936157,0.143,16486245,39922541,1.32,0.34
1321781120,0.143,18908449,43870681,1.178,0.34
3080740701,1.437,36038835,84212948,0.994,1.26
3059577061,0.887,33674319,101193569,1.284,1.26
3243359430,0.587,33892576,97287069,1.614,1.26
2789676496,0.478,32583659,91484837,1.475,1.26
2878763896,0.414,35591550,96191443,1.558,1.26
3121291288,0.372,32269089,92394993,1.642,1.26
3189433562,0.574,32269831,94854163,1.583,1.26
3064974992,0.33,31595771,89410714,1.635,1.26
3159160703,0.325,30707429,96075107,1.75,1.26
2959968245,0.326,32649017,95817006,1.63,1.26
3149973673,0.334,33593733,86562290,1.731,1.26
3374020851,0.334,33714555,88942345,1.827,1.26
3031350938,0.344,36214235,94391125,1.664,1.26
3053676271,0.335,35280121,91832402,1.684,1.26
3064584498,0.346,35254684,90125618,1.645,1.26
3488593780,0.346,34477054,94830860,1.883,1.26
7571845775,4.413,68199680,245388241,1.022,4.16
7660614851,2.392,65293387,252106147,1.58,4.16
7316390956,1.667,66888909,233125488,1.8,4.16
7167793902,1.303,66051230,236203321,2.04,4.16
6856381593,1.098,69241352,240117199,2.029,4.16
7403278134,0.962,69460990,225884695,2.248,4.16
7245861758,1.077,66105253,235185340,2.109,4.16
7102606597,0.823,66088228,243994207,2.205,4.16
7325409243,0.809,69796172,231457620,2.404,4.16
7296951957,0.812,68464099,232313278,2.377,4.16
7463378885,0.799,66306196,243745308,2.42,4.16
7179314970,0.822,67178647,243926381,2.333,4.16
7192657916,0.83,70709486,230788803,2.306,4.16
7324532291,1.249,67994768,241361132,2.129,4.16
6857768594,0.853,70252651,246531672,2.313,4.16
7157513102,0.855,73547193,228980519,2.367,4.16
2070667223,1.018,21521904,67210206,1.059,1.0
2298519761,0.534,22077773,59404569,1.489,1.0
2574017569,0.381,20257143,64249305,1.725,1.0
2214914204,0.301,26159661,60148955,1.637,1.0
2275619507,0.254,21764790,61291183,1.693,1.0
2102457871,0.227,22172630,66220081,1.62,1.0
2354107479,0.203,21303423,57683571,1.821,1.0
2610953353,0.185,21046998,64767657,1.924,1.0
2492363642,0.169,20882131,65568765,1.874,1.0
2092664323,0.165,22963751,65401516,1.683,1.0
2038885316,0.155,22235137,61188686,1.693,1.0
2295800687,0.145,21318398,62883725,1.835,1.0
2194364126,0.139,21657210,62524731,1.765,1.0
2122131144,0.134,22083067,64237598,1.76,1.0
2207695037,0.134,23013354,52942692,1.873,1.0
2211477532,0.129,23893558,58486942,1.875,1.0
3315221931,2.15,30072019,96109068,1.034,2.11
3612166862,1.126,28670320,101011992,1.551,2.11
3597256154,0.771,27902896,93270128,1.776,2.11
3588730859,0.6,27956657,101093647,2.002,2.11
3607946169,0.506,27801446,98666235,2.083,2.11
3327243376,0.429,28660389,90392839,2.01,2.11
3409390004,0.381,32210517,102031123,2.182,2.11
3589778451,0.341,28255724,99278186,2.308,2.11
3343520044,0.32,28194378,93853638,2.175,2.11
3264965557,0.31,28093128,96559704,2.185,2.11
3422101958,0.279,30339387,104053296,2.373,2.11
3619578355,0.271,28166888,93511456,2.368,2.11
3274114399,0.255,28897060,93607862,2.338,2.11
3455167262,0.25,28724152,95714750,2.494,2.11
3432686860,0.234,29039558,96848079,2.484,2.11
3864835530,0.235,28952208,98107548,2.749,2.11
21498566951,19.326,130030368,667107204,1.01,19.04
21243497227,10.095,132365967,672636487,1.851,19.04
21724889615,6.948,130858916,660546355,2.604,19.04
21604723796,5.327,131710628,659993898,3.218,19.04
21865807119,4.352,132697032,668484554,3.799,19.04
22192358994,3.654,129639852,665660106,4.352,19.04
21789664989,3.219,130681467,666553851,4.717,19.04
21565629398,2.826,131209197,678314534,5.094,19.04
22056155839,2.534,129919599,652001583,5.554,19.04
21719914081,2.309,132305478,668212015,5.902,19.04
21440880472,2.128,131790544,672728109,6.07,19.04
21710673474,1.978,130627352,651166122,6.422,19.04
21644540495,1.852,129857387,662157113,6.675,19.04
22024138243,1.808,130120775,656185160,6.881,19.04
21564040095,1.705,133557379,662186880,7.042,19.04
21803650848,1.594,132103457,655969836,7.306,19.04
1525452766,0.344,19340503,32742917,1.235,0.15
1597348569,0.274,18802974,37509543,1.358,0.15
1450264639,0.238,17807222,37534801,1.16,0.15
1338953388,0.212,15108729,34996387,1.19,0.15
1426959408,0.221,17411743,36432961,1.278,0.15
2769939513,1.37,30696601,56158874,1.188,0.61
2967480513,1.054,28594906,55533596,1.444,0.61
2472128390,0.914,25647075,51120632,1.291,0.61
2655042424,0.818,26794082,53978441,1.505,0.61
