cache-misses,time,branch-load-misses,dTLB-load-misses,cpu-cycles,L1-icache-load-misses,s
19818362,0.599,18576889,1566549,13151220803,38090824,0.21
16977909,0.552,19711816,1421434,13509922748,40285673,0.21
15994544,0.578,21502435,1389310,14585297603,42501991,0.21
18082283,0.547,20218830,1651644,13209795825,39186744,0.21
21131191,9.417,29036948,1403553,25550693946,41261920,0.57
21394765,4.997,24160203,1224762,25588240857,43353640,0.57
21505351,3.586,25097392,1352033,27112157298,50702210,0.57
21914914,2.826,28769075,1499084,26763408183,38615405,0.57
23283705,2.379,26187438,1472689,26704784461,40730363,0.57
21724326,2.107,26923252,1710925,26726564827,45501305,0.57
20665972,1.927,29364602,1695489,27818730916,48391226,0.57
22726771,1.789,29342577,1882412,27076393495,43888414,0.57
23134376,1.645,25343696,1786579,26501335479,43216583,0.57
25102337,1.564,27645511,1830387,26794224875,44013943,0.57
25118331,1.475,26309792,2052871,28666773705,41728439,0.57
21562309,1.4,26226981,2007499,27038291417,47285686,0.57
21578473,1.363,27839248,2008542,27241391583,53505471,0.57
24735591,1.346,26665037,2367437,27718538217,46123836,0.57
23740371,1.282,27312379,2178451,27451582482,49820978,0.57
21298716,1.251,27595435,2341791,27697916133,49573139,0.57
13275156,0.425,22056702,853803,5844959140,36318039,0.04
17280005,0.212,17952698,1047532,5573078350,33075237,0.04
15596099,0.184,18012125,822782,4417136883,30768154,0.04
12799718,0.17,18100836,751645,4586528789,39540198,0.04
15872677,0.164,15530438,795667,4543802781,31805197,0.04
15360919,0.161,17904956,909334,4302317085,34647171,0.04
14847241,0.143,17058709,791947,4370417774,38463239,0.04
15434583,0.149,18396832,885411,4345851450,33082580,0.04
14675249,0.147,16321793,704744,4794051565,38520775,0.04
13918757,0.142,17960045,997518,4301736437,35362744,0.04
14189693,0.143,17805685,1003844,4362811108,30795660,0.04
16086221,0.145,17477852,878117,5421735877,33403418,0.04
15247396,0.388,20042299,875945,4868093427,34746048,0.04
16009479,0.147,18190447,962076,4405725083,35203798,0.04
15229419,0.143,16486245,841109,4922124954,33312662,0.04
13870877,0.143,18908449,895423,4448649783,36667602,0.04
16460244,1.437,36038835,871914,7016323173,52559735,0.13
18113124,0.887,33674319,939835,7461722699,54222853,0.13
17294343,0.587,33892576,957676,8238978886,54490159,0.13
17265908,0.478,32583659,973646,7269437735,55641827,0.13
17447606,0.414,35591550,1014451,7337588509,56980734,0.13
19700296,0.372,32269089,948403,7598220191,50404057,0.13
16501152,0.574,32269831,890056,8141109113,63462581,0.13
19646690,0.33,31595771,841368,7408167416,57474033,0.13
18883476,0.325,30707429,894518,7937881866,59200486,0.13
18586189,0.326,32649017,964042,7395854907,58839212,0.13
21138859,0.334,33593733,977524,7878461559,50045519,0.13
18263353,0.334,33714555,922294,8201082778,60500409,0.13
20074410,0.344,36214235,1036099,7564798055,50864508,0.13
20169936,0.335,35280121,970449,7607435322,48637000,0.13
19214825,0.346,35254684,973621,7386586535,55559143,0.13
18563075,0.346,34477054,873407,8515585500,56214427,0.13
25757729,4.413,68199680,1078323,15444159085,101663130,0.33
26883813,2.392,65293387,1104750,16515289826,109369753,0.33
26611850,1.667,66888909,1292298,15792720911,107268947,0.33
27758712,1.303,66051230,1228569,16121640033,104886593,0.33
26973361,1.098,69241352,1211737,15216424828,107855038,0.33
