L1-icache-load-misses-percent,iTLB-load-misses-percent,L1-icache-loads,cpu-clock,instructions,iTLB-loads,cpu-cycles,dTLB-loads,L1-dcache-loads,user-time,task-clock,input-size
1.79,0.02,2212283922,3.61,4952153308,2127659376,8015131934,2631132963,2526584330,0.77,3.63,0
2.26,0.02,1973748770,3.31,4868973093,1894646096,7521171283,2299450135,2241114985,0.8,3.33,0
2.39,0.02,1819713517,3.33,4261229231,1868797150,7582223410,2229481430,2292833724,0.88,3.35,0
2.07,0.02,2115770529,3.5,4959294657,1926969409,7908096651,2361507480,2284432982,0.82,3.52,0
1.8,0.02,2146849816,3.55,4655334055,2102265626,7967733214,2511647859,2479218896,0.81,3.56,0
2.53,0.02,1840385742,3.47,4245321268,1905245025,7861522445,2336288856,2347279459,0.87,3.48,0
2.32,0.02,1950658493,3.61,4801367055,1989982268,7980302612,2379880127,2508954097,0.86,3.63,0
2.06,0.02,2051686241,3.65,4752396471,1944744728,8217642257,2401291077,2428443819,0.91,3.67,0
1.37,0.01,3198175597,4.66,8659142478,3151769498,10779148116,4388651416,4341252545,1.98,4.67,1
1.52,0.01,3099097512,4.65,8179879321,3080135212,10718449616,4352052699,4079266246,2.03,4.66,1
1.46,0.01,3014410072,4.69,8307352501,3012344890,10729232422,4179927004,4261559288,2.09,4.7,1
1.36,0.01,2979924601,4.35,7853454693,2909769854,9903313450,4109120549,3937464848,2.01,4.36,1
1.77,0.01,3171908801,5.06,9047637430,3255280908,11676376841,4390684372,4343196665,2.16,5.08,1
1.43,0.01,3468214210,5.7,9210735935,3339867424,12759979090,4886250060,4820742156,2.2,5.72,1
1.45,0.01,3544169174,5.47,9395544157,3668880341,12381420419,4618086059,4728421171,2.14,5.49,1
1.43,0.01,2781297210,4.29,7770544041,2899211086,9752953918,4099571530,3878396679,2.01,4.3,1
1.49,0.01,3090844899,4.96,8288211222,3019416736,11029021030,4250307697,4156422692,2.09,4.98,1
1.78,0.01,3164203172,5.08,8922697485,3042007157,11635532066,4143517085,4114665818,2.18,5.1,1
1.72,0.01,3112118518,4.94,8754583050,3115774306,11277671864,4241103519,4118422563,2.15,4.96,1
1.6,0.01,3274720709,5.39,8554972369,3323712676,12072385717,4381842062,4380267739,2.17,5.42,1
1.62,0.02,3848486581,7.29,10220533249,3627063617,15661344989,5286676486,5331236111,2.32,7.33,1
1.74,0.02,3947796686,7.18,9737798298,3602393491,16119732853,4903804682,4836213866,2.52,7.22,1
1.83,0.01,3338213909,5.77,8456939458,3165233068,13064079808,4354516094,4346455399,2.34,5.8,1
1.78,0.02,3660094798,6.88,9750439291,3461688904,15491617861,4681011533,4780115442,2.54,6.92,1
0.74,0.0,15556127917,19.68,44287048523,15518733013,46268560494,18905238162,18767723577,12.5,19.7,2
0.67,0.0,14618755146,17.77,41969554703,14575806526,41826303829,17319922845,17604395725,12.28,17.79,2
